"","age","job","marital","education","default","housing","loan","contact","month","day_of_week","duration","campaign","previous","poutcome","emp.var.rate","cons.price.idx","cons.conf.idx","euribor3m","nr.employed","y"
"1",30,"blue-collar","married","basic","no","yes","no","cellular","may","fri",487,2,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"2",39,"services","single","high.school","no","no","no","telephone","may","fri",346,4,0,"nonexistent",1.1,93.994,-36.4,4.855,5191,"no"
"3",25,"services","married","high.school","no","yes","no","telephone","jun","wed",227,1,0,"nonexistent",1.4,94.465,-41.8,4.962,5228.1,"no"
"4",47,"admin.","married","university.degree","no","yes","no","cellular","nov","mon",58,1,0,"nonexistent",-0.1,93.2,-42,4.191,5195.8,"no"
"5",32,"services","single","university.degree","no","no","no","cellular","sep","thu",128,3,2,"failure",-1.1,94.199,-37.5,0.884,4963.6,"no"
"6",32,"admin.","single","university.degree","no","yes","no","cellular","sep","mon",290,4,0,"nonexistent",-1.1,94.199,-37.5,0.879,4963.6,"yes"
"7",31,"services","divorced","professional.course","no","no","no","cellular","nov","tue",68,1,1,"failure",-0.1,93.2,-42,4.153,5195.8,"no"
"8",36,"businessman","single","basic","no","no","no","cellular","jul","thu",148,1,0,"nonexistent",1.4,93.918,-42.7,4.968,5228.1,"no"
"9",36,"admin.","married","high.school","no","no","no","telephone","may","wed",97,2,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"10",47,"blue-collar","married","basic","no","yes","no","telephone","jun","thu",211,2,0,"nonexistent",1.4,94.465,-41.8,4.958,5228.1,"no"
"11",29,"admin.","single","high.school","no","no","no","cellular","may","fri",553,2,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"12",27,"services","single","university.degree","no","no","no","cellular","jul","wed",698,2,0,"nonexistent",1.4,93.918,-42.7,4.963,5228.1,"no"
"13",44,"admin.","divorced","university.degree","no","no","no","cellular","jul","wed",191,6,0,"nonexistent",1.4,93.918,-42.7,4.957,5228.1,"no"
"14",46,"admin.","divorced","university.degree","no","yes","no","telephone","jul","mon",59,4,0,"nonexistent",1.4,93.918,-42.7,4.962,5228.1,"no"
"15",50,"blue-collar","married","basic","no","no","yes","cellular","jul","tue",849,1,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"16",39,"technician","divorced","high.school","no","no","no","cellular","mar","mon",222,1,2,"success",-1.8,93.369,-34.8,0.639,5008.7,"yes"
"17",29,"technician","single","university.degree","no","yes","yes","cellular","aug","wed",626,3,0,"nonexistent",1.4,93.444,-36.1,4.967,5228.1,"no"
"18",40,"management","married","high.school","no","no","yes","cellular","aug","wed",119,1,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"no"
"19",38,"technician","married","professional.course","no","yes","no","cellular","aug","mon",479,1,0,"nonexistent",1.4,93.444,-36.1,4.965,5228.1,"yes"
"20",36,"technician","divorced","professional.course","no","no","no","telephone","may","wed",446,1,0,"nonexistent",1.1,93.994,-36.4,4.856,5191,"no"
"21",34,"admin.","married","university.degree","no","no","no","cellular","aug","tue",109,1,0,"nonexistent",1.4,93.444,-36.1,4.963,5228.1,"no"
"22",38,"technician","married","university.degree","no","yes","yes","cellular","mar","tue",113,1,1,"failure",-1.8,92.843,-50,1.687,5099.1,"no"
"23",51,"technician","single","university.degree","no","no","no","cellular","jun","fri",151,2,0,"nonexistent",-2.9,92.963,-40.8,1.268,5076.2,"no"
"24",48,"technician","married","university.degree","no","no","no","cellular","aug","thu",42,7,0,"nonexistent",1.4,93.444,-36.1,4.962,5228.1,"no"
"25",28,"blue-collar","single","basic","no","yes","no","telephone","jun","wed",525,1,0,"nonexistent",1.4,94.465,-41.8,4.864,5228.1,"no"
"26",36,"blue-collar","married","basic","no","yes","no","telephone","may","wed",57,1,0,"nonexistent",1.1,93.994,-36.4,4.859,5191,"no"
"27",46,"management","divorced","high.school","no","no","no","cellular","nov","wed",499,1,0,"nonexistent",-0.1,93.2,-42,4.12,5195.8,"no"
"28",76,"unemployed","married","university.degree","no","no","no","cellular","aug","thu",126,1,1,"failure",-1.7,94.027,-38.3,0.899,4991.6,"no"
"29",45,"businessman","divorced","professional.course","no","yes","no","cellular","jul","tue",211,3,0,"nonexistent",1.4,93.918,-42.7,4.961,5228.1,"no"
"30",32,"housemaid","married","basic","no","yes","yes","cellular","may","fri",340,1,0,"nonexistent",-1.8,92.893,-46.2,1.313,5099.1,"no"
"31",32,"admin.","married","university.degree","no","no","no","telephone","nov","thu",132,1,0,"nonexistent",-0.1,93.2,-42,4.592,5195.8,"no"
"32",29,"admin.","single","basic","no","no","no","cellular","may","mon",79,2,0,"nonexistent",-1.8,92.893,-46.2,1.299,5099.1,"no"
